"Código (SKU)";"Descrição";"Estoque físico"
"RFHE26CC";"RETROV. EXT FORD F350 98> LD CONJ COMPL";"0,00"
"RFHE27CC";"RETROV EXT  FORD F800 98> LE CONJ COMPL";"0,00"
"RFHE28CC";"RETROV EXT  FORD F800 98> LD CONJ COMPL";"0,00"
"RFHE38CR";"RETROV EXT C/REM PICK-UP COURIER LD 97>";"0,00"
"RFHE39CR";"RETROV EXT C/REM PICK-UP COURIER LE 97>";"0,00"
"RFHE84CR";"RETROV EXT KA 97> LD CR INDY";"0,00"
"RFHE85CR";"RETROV EXT KA 97> LE CR INDY";"0,00"
"RFHE92CE";"RETROV EXT  COURIER 97> LD CE";"13,00"
"RFHE93CE";"RETROV EXT  COURIER 97> LE CE";"0,00"
"RFHM21";"SUBCONJUNTO F 250 LE";"0,00"
"RFHM22";"SUBCONJUNTO F250 LD";"215,00"
"RFIC247";"RETROV INT C/CAMERA LINHA FORD";"1,00"
"RFIC247C";"RETROV INT C/CAMERA LINHA FORD";"0,00"
"RFMC78";"CAPA RETROV TEXTURIZADA - FIESTA AMAZON/ KA 08>13 LD";"0,00"
"RFMC79";"CAPA RETROV TEXTURIZADA - FIESTA AMAZON/ KA 08>13 LE";"19,00"
"RFMC94";"CAPA RETROV TEXTURIZADA ECOSPORT 94/12 / RANGER 05/09 LD";"0,00"
"RFMC94LI";"CAPA RETROV ECOSPORT 03> LD";"0,00"
"RFMC95";"CAPA RETROV TEXTURIZADA ECOSPORT 94/12 / RANGER 05/09 LE";"0,00"
"RFMC95LI";"CAPA RETROV ECOSPORT 03> LE";"0,00"
"RFME78CR";"RETROV EXT C/REM FIESTA 02> LD";"0,00"
"RFME79CR";"RETROV EXT C/REM FIESTA 02> LE";"0,00"
"RFME80CE";"RETROV EXT C/ELETR FIESTA 02> LD";"0,00"
"RFME81CE";"RETROV EXT C/ELETR FIESTA 02> LE";"0,00"
"RFME94CR";"RETROV EXT C/REM ECOSPORT LD 03>11";"0,00"
"RFME95CR";"RETROV EXT C/REM ECOSPORT LE 03>11";"0,00"
"RFME96CE";"RETROV EXT C/ELETR ECOSPORT LD 03>11";"0,00"
"RFME97CE";"RETROV EXT C/ELETR ECOSPORT LE 03>11";"3,00"
"RFMM78";"SUBCONJUNTO FIESTA AMAZON/ KA 08>13 LD";"0,00"
"RFMM79";"SUBCONJUNTO FIESTA AMAZON/ KA 08>13 LE";"0,00"
